Major,Monthly Starting Salary ($)
Management,5730
Management,5100
Finance,5555
Accounting,6255
Info Systems,6620
Accounting,5510
Accounting,6280
Management,6095
Finance,6175
Finance,6275
Accounting,6960
Accounting,5875
Marketing,5180
Marketing,6115
Marketing,5660
Management,5575
Finance,5755
Accounting,6605
Finance,6400
Finance,6645
Finance,5350
Marketing,5670
Management,6235
Accounting,6550
Marketing,5600
Accounting,5540
Finance,6100
Marketing,5880
Accounting,6160
Marketing,5840
Marketing,5935
Management,5030
Accounting,6680
Management,6685
Accounting,5640
Marketing,5515
Marketing,6045
Accounting,6200
Marketing,6035
Accounting,7290
Info Systems,6255
Marketing,5510
Finance,5355
Management,5840
Marketing,6335
Info Systems,6760
Info Systems,6685
Marketing,4895
Management,5200
Marketing,6885
Management,5240
Management,5535
Marketing,5590
Marketing,5590
Management,4640
Accounting,6180
Management,5375
Management,5675
Marketing,6045
Management,5650
Finance,6275
Marketing,5300
Management,5085
Accounting,5420
Info Systems,6810
Finance,5750
Accounting,7400
Accounting,6440
Accounting,6170
Accounting,7395
Info Systems,7430
Finance,5770
Accounting,6740
Accounting,6625
Finance,5800
Management,5290
Finance,6475
Finance,5930
Info Systems,5725
Marketing,5425
Marketing,6410
Management,5265
Management,6645
Accounting,8050
Accounting,6490
Info Systems,6115
Accounting,6200
Management,5765
Accounting,5495
Info Systems,6165
Info Systems,6260
Accounting,5100
Finance,7400
Info Systems,7010
Accounting,7900
Info Systems,6010
Info Systems,6265
Accounting,6610
Management,5590
Finance,6210
Finance,6575
Finance,5935
Management,5180
Info Systems,6365
Finance,6065
Info Systems,6695
Management,5480
Management,6015
Finance,6200
Info Systems,5230
Marketing,4930
