Date,Units Produced,Facility
January 4,219,Albany
January 5,209,Albany
January 6,202,Albany
January 7,230,Albany
January 8,233,Albany
January 9,206,Albany
January 10,224,Albany
January 11,209,Albany
January 12,211,Albany
January 13,235,Albany
January 14,203,Albany
January 15,238,Albany
January 16,226,Albany
January 17,206,Albany
January 18,224,Albany
January 19,239,Albany
January 20,205,Albany
January 21,240,Albany
January 22,201,Albany
January 23,226,Albany
January 24,212,Albany
January 25,204,Albany
January 26,234,Albany
January 27,227,Albany
January 28,205,Albany
January 29,223,Albany
January 30,220,Albany
January 31,208,Albany
