Date,Units Produced,Facility
January 4,314,Detroit
January 5,330,Detroit
January 6,317,Detroit
January 7,336,Detroit
January 8,309,Detroit
January 9,322,Detroit
January 10,337,Detroit
January 11,335,Detroit
January 12,308,Detroit
January 13,305,Detroit
January 14,341,Detroit
January 15,339,Detroit
January 16,317,Detroit
January 17,318,Detroit
January 18,301,Detroit
January 19,304,Detroit
January 20,320,Detroit
January 21,332,Detroit
January 22,342,Detroit
January 23,331,Detroit
January 24,306,Detroit
January 25,322,Detroit
January 26,347,Detroit
January 27,338,Detroit
January 28,343,Detroit
January 29,349,Detroit
January 30,350,Detroit
January 31,324,Detroit
