Customer Number,Lens Type,
632821,disposable contact lenses,
152175,monofocal lenses,
48036,disposable contact lenses,
12527,monofocal lenses,
168248,progressive lenses,
930428,progressive lenses,
148624,monofocal lenses,
892264,monofocal lenses,
681979,monofocal lenses,
220906,daily wear contact lenses,
784268,monofocal lenses,
515811,rigid gas permeable contact lenses,
969295,bifocal lenses,
160546,bifocal lenses,
29878,monofocal lenses,
415116,extended wear contact lenses,
497843,progressive lenses,
517718,monofocal lenses,
315706,progressive lenses,
915619,bifocal contact lenses,
511075,daily wear contact lenses,
222049,bifocal contact lenses,
310739,bifocal lenses,
276580,monofocal lenses,
702501,bifocal lenses,
199172,extended wear contact lenses,
81379,monofocal lenses,
821653,monofocal lenses,
321087,progressive lenses,
433827,progressive lenses,
960520,monofocal lenses,
396184,extended wear contact lenses,
311398,daily wear contact lenses,
424145,bifocal lenses,
560546,bifocal lenses,
786961,monofocal lenses,
44005,monofocal lenses,
184294,extended wear contact lenses,
190944,progressive lenses,
500061,disposable contact lenses,
801042,extended wear contact lenses,
679780,progressive lenses,
276647,monofocal lenses,
225211,monofocal lenses,
362950,monofocal lenses,
169685,bifocal contact lenses,
205578,progressive lenses,
706701,monofocal lenses,
714812,bifocal contact lenses,
452999,progressive lenses,
329200,progressive lenses,
159263,monofocal lenses,
36713,disposable contact lenses,
101573,disposable contact lenses,
680477,monofocal lenses,
95706,bifocal contact lenses,
668822,monofocal lenses,
163971,bifocal contact lenses,
585229,disposable contact lenses,
507976,progressive lenses,
79904,bifocal contact lenses,
184055,daily wear contact lenses,
682116,extended wear contact lenses,
857351,toric contact lenses,
86878,progressive lenses,
537084,progressive lenses,
163277,progressive lenses,
934244,monofocal lenses,
788960,monofocal lenses,
721960,extended wear contact lenses,
932838,monofocal lenses,
532769,progressive lenses,
985342,extended wear contact lenses,
756219,monofocal lenses,
468296,monofocal lenses,
786186,bifocal contact lenses,
273875,disposable contact lenses,
481650,monofocal lenses,
891123,progressive lenses,
320569,progressive lenses,
399543,monofocal lenses,
45781,monofocal lenses,
965641,bifocal lenses,
795345,bifocal contact lenses,
445773,extended wear contact lenses,
564994,rigid gas permeable contact lenses,
217847,progressive lenses,
843274,monofocal lenses,
800384,monofocal lenses,
397632,monofocal lenses,
899890,progressive lenses,
787630,toric contact lenses,
809929,extended wear contact lenses,
820793,rigid gas permeable contact lenses,
531183,monofocal lenses,
894246,monofocal lenses,
385452,progressive lenses,
962141,monofocal lenses,
386748,progressive lenses,
393106,monofocal lenses,
344275,monofocal lenses,
582156,monofocal lenses,
301560,trifocal lenses,
139579,bifocal lenses,
123105,progressive lenses,
804331,extended wear contact lenses,
688370,monofocal lenses,
105809,trifocal lenses,
281332,monofocal lenses,
707559,monofocal lenses,
544431,monofocal lenses,
632642,trifocal lenses,
838145,monofocal lenses,
869448,progressive lenses,
872562,monofocal lenses,
788066,extended wear contact lenses,
225788,bifocal contact lenses,
709944,daily wear contact lenses,
806892,monofocal lenses,
555730,bifocal lenses,
319106,monofocal lenses,
879422,toric contact lenses,
659576,rigid gas permeable contact lenses,
844593,extended wear contact lenses,
583585,extended wear contact lenses,
604149,bifocal contact lenses,
830799,monofocal lenses,
870185,monofocal lenses,
547929,disposable contact lenses,
288113,bifocal lenses,
598899,bifocal lenses,
340903,progressive lenses,
356144,progressive lenses,
646871,disposable contact lenses,
642657,monofocal lenses,
225864,monofocal lenses,
106155,bifocal contact lenses,
939570,disposable contact lenses,
228071,bifocal lenses,
392010,trifocal lenses,
451769,toric contact lenses,
10101,progressive lenses,
574267,progressive lenses,
166320,monofocal lenses,
948111,progressive lenses,
452694,bifocal contact lenses,
329647,rigid gas permeable contact lenses,
929224,extended wear contact lenses,
811725,trifocal lenses,
948859,trifocal lenses,
154192,monofocal lenses,
182048,progressive lenses,
590956,bifocal lenses,
316149,bifocal lenses,
637522,monofocal lenses,
435513,progressive lenses,
335063,daily wear contact lenses,
115180,daily wear contact lenses,
732458,extended wear contact lenses,
816183,disposable contact lenses,
749329,disposable contact lenses,
70898,extended wear contact lenses,
365579,progressive lenses,
251818,progressive lenses,
642565,bifocal contact lenses,
709371,bifocal contact lenses,
616833,monofocal lenses,
717837,bifocal lenses,
17647,monofocal lenses,
202817,extended wear contact lenses,
641631,trifocal lenses,
285266,disposable contact lenses,
735507,monofocal lenses,
182370,progressive lenses,
748173,progressive lenses,
5628,bifocal contact lenses,
303721,disposable contact lenses,
194014,progressive lenses,
150336,daily wear contact lenses,
611317,monofocal lenses,
894570,monofocal lenses,
565153,bifocal contact lenses,
320390,monofocal lenses,
304691,progressive lenses,
581942,progressive lenses,
71722,disposable contact lenses,
411581,progressive lenses,
318331,bifocal lenses,
238080,monofocal lenses,
646107,daily wear contact lenses,
144403,disposable contact lenses,
278137,monofocal lenses,
370856,progressive lenses,
872791,progressive lenses,
160445,bifocal contact lenses,
626384,progressive lenses,
166772,progressive lenses,
138630,bifocal lenses,
697990,extended wear contact lenses,
719241,trifocal lenses,
540084,monofocal lenses,
668670,progressive lenses,
374116,disposable contact lenses,
587041,extended wear contact lenses,
825057,trifocal lenses,
132921,monofocal lenses,
187973,extended wear contact lenses,
232768,disposable contact lenses,
831637,extended wear contact lenses,
164860,monofocal lenses,
465784,extended wear contact lenses,
892562,disposable contact lenses,
116121,monofocal lenses,
939732,monofocal lenses,
726562,bifocal lenses,
902139,progressive lenses,
145843,disposable contact lenses,
315476,extended wear contact lenses,
329577,monofocal lenses,
949246,disposable contact lenses,
350183,progressive lenses,
65456,monofocal lenses,
483479,progressive lenses,
669434,progressive lenses,
111612,monofocal lenses,
96886,disposable contact lenses,
364186,extended wear contact lenses,
147690,progressive lenses,
162337,monofocal lenses,
775748,progressive lenses,
659320,progressive lenses,
792353,extended wear contact lenses,
825423,progressive lenses,
132240,bifocal contact lenses,
978272,disposable contact lenses,
882890,monofocal lenses,
51524,progressive lenses,
327606,toric contact lenses,
879391,bifocal lenses,
297511,bifocal lenses,
457167,progressive lenses,
503704,extended wear contact lenses,
244493,disposable contact lenses,
11784,daily wear contact lenses,
637034,trifocal lenses,
681949,extended wear contact lenses,
454958,monofocal lenses,
734965,monofocal lenses,
661177,trifocal lenses,
760953,progressive lenses,
871170,monofocal lenses,
618108,bifocal lenses,
509775,trifocal lenses,
482602,progressive lenses,
112039,progressive lenses,
927171,extended wear contact lenses,
155416,bifocal lenses,
130731,progressive lenses,
60290,progressive lenses,
327996,monofocal lenses,
311450,progressive lenses,
262437,disposable contact lenses,
26924,bifocal lenses,
675830,monofocal lenses,
49082,monofocal lenses,
864436,monofocal lenses,
574816,progressive lenses,
836649,extended wear contact lenses,
438719,monofocal lenses,
629405,bifocal contact lenses,
588212,disposable contact lenses,
218636,progressive lenses,
495429,extended wear contact lenses,
678644,bifocal lenses,
428905,bifocal contact lenses,
118406,trifocal lenses,
662766,progressive lenses,
582480,progressive lenses,
113614,progressive lenses,
13304,rigid gas permeable contact lenses,
132188,progressive lenses,
299065,monofocal lenses,
229431,progressive lenses,
497800,progressive lenses,
199782,monofocal lenses,
987343,bifocal lenses,
877507,daily wear contact lenses,
162178,monofocal lenses,
942921,disposable contact lenses,
416562,toric contact lenses,
151191,progressive lenses,
791597,progressive lenses,
619832,progressive lenses,
758027,bifocal contact lenses,
910849,monofocal lenses,
663999,extended wear contact lenses,
596689,rigid gas permeable contact lenses,
633447,extended wear contact lenses,
637251,bifocal lenses,
696647,monofocal lenses,
50554,bifocal contact lenses,
35602,bifocal lenses,
398207,disposable contact lenses,
235970,progressive lenses,
124307,disposable contact lenses,
160943,progressive lenses,
239660,bifocal lenses,
247225,monofocal lenses,
181535,progressive lenses,
295166,progressive lenses,
625870,bifocal lenses,
855152,monofocal lenses,
536892,progressive lenses,
283092,disposable contact lenses,
277921,monofocal lenses,
486754,disposable contact lenses,
96766,disposable contact lenses,
49473,extended wear contact lenses,
777951,progressive lenses,
314307,bifocal lenses,
351285,progressive lenses,
183659,daily wear contact lenses,
931743,progressive lenses,
387933,bifocal lenses,
104212,bifocal contact lenses,
166228,disposable contact lenses,
226966,bifocal contact lenses,
979211,monofocal lenses,
794690,monofocal lenses,
679225,rigid gas permeable contact lenses,
581097,bifocal contact lenses,
252811,bifocal lenses,
931157,progressive lenses,
663568,progressive lenses,
392373,progressive lenses,
442178,rigid gas permeable contact lenses,
86298,disposable contact lenses,
770614,monofocal lenses,
943063,monofocal lenses,
228547,disposable contact lenses,
460885,extended wear contact lenses,
102742,progressive lenses,
935340,progressive lenses,
186618,monofocal lenses,
951551,monofocal lenses,
518863,progressive lenses,
795497,monofocal lenses,
694323,monofocal lenses,
10607,monofocal lenses,
972160,progressive lenses,
426733,monofocal lenses,
432097,monofocal lenses,
674629,extended wear contact lenses,
791447,extended wear contact lenses,
688925,monofocal lenses,
812327,progressive lenses,
694005,disposable contact lenses,
538832,monofocal lenses,
797225,disposable contact lenses,
308688,disposable contact lenses,
744988,progressive lenses,
20369,extended wear contact lenses,
127091,monofocal lenses,
621288,extended wear contact lenses,
511310,monofocal lenses,
43462,monofocal lenses,
186337,progressive lenses,
314381,toric contact lenses,
318534,progressive lenses,
715422,monofocal lenses,
926193,progressive lenses,
60769,monofocal lenses,
372862,daily wear contact lenses,
26067,progressive lenses,
725908,monofocal lenses,
943548,monofocal lenses,
760376,monofocal lenses,
538658,monofocal lenses,
364712,disposable contact lenses,
27057,rigid gas permeable contact lenses,
573839,bifocal lenses,
697809,progressive lenses,
645187,bifocal contact lenses,
658446,disposable contact lenses,
656584,monofocal lenses,
229115,monofocal lenses,
647993,progressive lenses,
984907,progressive lenses,
548551,progressive lenses,
694805,trifocal lenses,
761272,extended wear contact lenses,
470750,bifocal lenses,
122791,extended wear contact lenses,
585286,monofocal lenses,
310834,progressive lenses,
684149,extended wear contact lenses,
456766,progressive lenses,
806321,disposable contact lenses,
888685,extended wear contact lenses,
540951,progressive lenses,
967530,disposable contact lenses,
520688,disposable contact lenses,
904598,extended wear contact lenses,
363820,disposable contact lenses,
773841,bifocal lenses,
373803,monofocal lenses,
885317,extended wear contact lenses,
421976,bifocal lenses,
921641,progressive lenses,
753404,toric contact lenses,
964092,bifocal contact lenses,
876249,extended wear contact lenses,
507470,progressive lenses,
665992,progressive lenses,
474836,bifocal lenses,
215337,progressive lenses,
69878,progressive lenses,
454610,progressive lenses,
856844,disposable contact lenses,
185299,progressive lenses,
819796,bifocal lenses,
557456,bifocal lenses,
447525,bifocal contact lenses,
611867,toric contact lenses,
293913,progressive lenses,
64140,daily wear contact lenses,
412088,bifocal lenses,
551008,monofocal lenses,
819904,rigid gas permeable contact lenses,
318796,disposable contact lenses,
443032,disposable contact lenses,
799119,disposable contact lenses,
331315,extended wear contact lenses,
404827,disposable contact lenses,
440318,bifocal lenses,
948904,disposable contact lenses,
541297,progressive lenses,
296843,disposable contact lenses,
882105,progressive lenses,
414309,progressive lenses,
6775,monofocal lenses,
413272,extended wear contact lenses,
805852,disposable contact lenses,
913688,extended wear contact lenses,
726917,monofocal lenses,
366398,daily wear contact lenses,
750238,monofocal lenses,
610713,extended wear contact lenses,
801844,bifocal contact lenses,
781828,bifocal contact lenses,
541545,extended wear contact lenses,
421431,monofocal lenses,
518942,monofocal lenses,
115608,bifocal contact lenses,
14783,extended wear contact lenses,
103272,bifocal lenses,
175039,monofocal lenses,
923084,monofocal lenses,
10434,toric contact lenses,
647622,extended wear contact lenses,
648854,monofocal lenses,
140701,disposable contact lenses,
507884,bifocal lenses,
558924,monofocal lenses,
549790,progressive lenses,
836135,toric contact lenses,
954565,daily wear contact lenses,
436347,extended wear contact lenses,
557331,toric contact lenses,
497355,progressive lenses,
329664,toric contact lenses,
599989,monofocal lenses,
786091,progressive lenses,
228702,bifocal lenses,
390391,monofocal lenses,
285501,bifocal lenses,
23888,toric contact lenses,
587830,progressive lenses,
662185,extended wear contact lenses,
556725,monofocal lenses,
362308,rigid gas permeable contact lenses,
145840,extended wear contact lenses,
590369,rigid gas permeable contact lenses,
687182,monofocal lenses,
4165,progressive lenses,
43866,progressive lenses,
86557,monofocal lenses,
73530,extended wear contact lenses,
507410,monofocal lenses,
773050,bifocal lenses,
224702,bifocal lenses,
250060,bifocal contact lenses,
832378,progressive lenses,
692308,daily wear contact lenses,
461587,bifocal lenses,
455419,progressive lenses,
408778,progressive lenses,
65229,disposable contact lenses,
713383,progressive lenses,
241693,extended wear contact lenses,
807146,monofocal lenses,
890703,bifocal lenses,
808609,monofocal lenses,
617229,daily wear contact lenses,
698464,progressive lenses,
471333,bifocal lenses,
284327,progressive lenses,
809737,monofocal lenses,
716724,monofocal lenses,
964653,progressive lenses,
136616,progressive lenses,
