Team,Year,Three Point Attempts
Gamaliel Gremlins,1,602
Fitzgerald Hawks,1,713
Delano Demons,1,647
Ulysses Gazelles,1,711
Milhous Rams,1,800
Birchard Spiders,1,682
Quincy Bobcats,1,800
Knox Golden Bears,1,650
Gamaliel Gremlins,2,918
Fitzgerald Hawks,2,755
Delano Demons,2,759
Ulysses Gazelles,2,873
Milhous Rams,2,890
Birchard Spiders,2,762
Quincy Bobcats,2,631
Knox Golden Bears,2,794
Gamaliel Gremlins,3,776
Fitzgerald Hawks,3,808
Delano Demons,3,653
Ulysses Gazelles,3,919
Milhous Rams,3,506
Birchard Spiders,3,587
Quincy Bobcats,3,626
Knox Golden Bears,3,737
Gamaliel Gremlins,4,590
Fitzgerald Hawks,4,841
Delano Demons,4,779
Ulysses Gazelles,4,676
Milhous Rams,4,695
Birchard Spiders,4,800
Quincy Bobcats,4,910
Knox Golden Bears,4,772
Gamaliel Gremlins,5,600
Fitzgerald Hawks,5,831
Delano Demons,5,626
Ulysses Gazelles,5,775
Milhous Rams,5,775
Birchard Spiders,5,903
Quincy Bobcats,5,894
Knox Golden Bears,5,642
Gamaliel Gremlins,6,559
Fitzgerald Hawks,6,628
Delano Demons,6,826
Ulysses Gazelles,6,645
Milhous Rams,6,764
Birchard Spiders,6,773
Quincy Bobcats,6,670
Knox Golden Bears,6,717
