ID Number,Position on Automobile,Life of Tire (Months),Tread Depth,Miles
81518,RR,20.6,8.6,37408
81518,RR,20.6,8.6,37408
13391952,LR,58.5,2.2,3007
21679618,LR,17.2,8.0,39084
18414342,RR,15.0,9.8,13709
19778015,RR,7.3,10.9,2002
16356967,RR,13.3,8.5,24334
8951784,LR,53.0,3.2,49033
6558415,RR,14.0,8.4,4296
16289891,LR,5.4,10.4,5647
8698313,LF,61.1,1.6,26190
8919904,LF,11.4,10.1,19490
7505415,LF,9.8,9.6,6417
18307025,RR,7.1,8.8,11797
3122472,LR,17.3,7.4,21073
12285594,LF,7.6,9.8,14672
10396948,RF,70.1,2.5,64967
7656555,RR,19.7,8.9,11966
8047612,LR,22.1,7.6,45108
12278369,LF,6.8,9.1,2515
20420707,RF,24.5,7.3,222
1383523,RF,24.4,7.2,5943
21514682,LR,19.0,8.1,4754
10363825,RR,30.7,6.0,58050
6427907,RR,12.9,9.9,7493
11980648,LF,20.1,7.2,27735
6465126,RR,18.1,8.2,43857
11322171,RR,13.6,8.0,26545
9091409,RF,1.5,10.0,2379
3354740,LF,18.4,8.0,33071
19783122,RR,46.2,5.5,374
10363825,RF,30.7,6.2,58050
4252772,RF,11.3,10.3,23448
15791632,RF,10.4,9.8,12401
12285594,RF,7.6,9.4,14672
6558415,RF,14.0,8.6,4296
9928118,RF,9.7,9.9,3092
15568188,LF,15.7,10.2,18228
6427907,LR,12.9,9.9,7493
10396948,LR,70.1,2.4,64967
852626,RF,3.1,9.9,831
12972918,RF,4.0,9.9,2018
101700,RR,21.4,8.0,29819
15791632,RR,10.4,10.3,12401
18151133,LR,36.6,5.0,45095
8776827,LF,11.6,9.6,29234
17754053,LR,4.6,9.0,2673
20616796,LF,27.8,4.4,13530
8279608,LF,46.4,4.5,11422
6122480,RR,3.4,9.2,7184
15791632,LR,10.4,9.5,12401
9107858,RF,18.4,7.8,170
1086127,LF,30.0,7.1,69164
852626,RR,3.1,10.2,831
12972918,RR,4.0,9.2,2018
6186317,LF,9.1,8.3,13420
10793619,RR,12.1,9.8,38651
20420707,RR,24.5,7.4,222
20420707,LF,24.5,7.4,222
7712464,LF,1.7,11.8,1593
15870089,LR,12.7,9.3,9786
20404616,RF,12.1,8.8,24360
11795512,LF,29.4,5.1,63479
13114730,LR,2.7,10.4,3377
8157077,LF,9.6,10.3,21391
17754053,RF,4.6,9.4,2673
11216130,RF,13.4,8.3,33766
21558071,LF,17.1,8.5,19453
5954899,RF,3.6,10.7,3963
11676734,RF,10.4,8.9,19697
14922518,LF,39.1,0.9,12491
15891808,LF,16.5,8.6,641
18151133,LF,36.6,5.2,45095
1383523,RR,24.4,7.2,5943
6175777,RF,6.8,8.7,14601
16252333,RF,12.9,9.2,13944
19778015,LR,7.3,10.9,2002
12252381,RR,37.4,5.0,88298
7505415,RF,9.8,9.5,6417
16356967,LF,13.3,8.1,24334
3574425,RR,73.3,0.2,57513
14922518,LR,39.1,0.7,12491
8157077,LR,9.6,9.8,21391
5954899,LR,3.6,11.2,3963
9857863,LR,22.2,7.8,5516
10497770,RR,36.8,5.9,71501
12285594,RR,7.6,8.8,14672
21679618,RF,17.2,8.0,39084
21420128,LR,39.1,6.3,20584
17221778,LF,18.3,8.5,18981
17423828,RF,30.0,6.3,69978
16289891,RF,5.4,10.4,5647
888065,RR,15.4,9.0,24196
96689,RR,8.9,9.5,6266
9077618,RF,10.0,8.7,19419
2123083,RF,11.4,8.9,20957
17754053,RR,4.6,9.4,2673
9307983,LR,44.2,4.6,107506
15699009,RR,11.2,8.6,16073
12236529,RR,28.0,7.6,52079
562099,LR,5.6,9.7,10766
11980648,RF,20.1,7.3,27735
6122480,LR,3.4,9.4,7184
12000879,LR,27.9,6.0,19324
293728,RF,7.5,10.3,2921
16252333,LR,12.9,9.5,13944
19491653,LR,7.4,10.1,17766
12252381,RF,37.4,5.2,88298
11676734,LF,10.4,9.3,19697
15568188,RF,15.7,10.3,18228
14952458,RR,29.6,6.6,348
12285594,LR,7.6,8.5,14672
16017035,RF,16.0,9.3,19408
14183194,RR,15.5,7.7,22814
1086127,LR,30.0,7.2,69164
9210558,RF,32.6,7.5,15115
14922518,RR,39.1,0.5,12491
7656555,LR,19.7,9.0,11966
9928118,LF,9.7,9.9,3092
9307983,RF,44.2,5.1,107506
4244690,RR,4.5,9.4,10275
6684231,LR,8.8,9.6,74631
11676734,LR,10.4,9.6,19697
16252333,RR,12.9,9.5,13944
13114730,LF,2.7,10.3,3377
8919904,LR,11.4,10.8,19490
14120767,LR,34.0,5.9,58557
13313295,RR,4.9,10.5,6673
20616796,LR,27.8,4.3,13530
13926664,RR,32.0,5.8,31918
14952458,LR,29.6,6.7,348
20382763,RF,16.1,9.4,17637
8951784,RF,53.0,3.3,49033
8919904,RR,11.4,10.7,19490
11980648,RR,20.1,7.1,27735
3354740,RF,18.4,7.8,33071
7656555,RF,19.7,8.8,11966
293728,LF,7.5,10.2,2921
23817151,RR,63.4,0.9,23266
13391952,RR,58.5,2.1,3007
19491653,RF,7.4,10.3,17766
18705657,RF,9.7,10.4,2403
16640256,LR,51.2,3.8,92876
12278369,RF,6.8,9.1,2515
18705657,LR,9.7,10.1,2403
20923007,RR,54.3,2.2,24377
20616796,RF,27.8,4.3,13530
20382763,LR,16.1,9.6,17637
6465126,LR,18.1,8.8,43857
14952458,LF,29.6,6.3,348
9120653,RR,26.7,7.3,44578
13313295,LF,4.9,10.8,6673
138004,RF,20.2,8.8,36816
6175777,LR,6.8,8.5,14601
8279608,LR,46.4,4.4,11422
12972918,LR,4.0,9.0,2018
19221055,RR,56.8,2.6,100113
4244690,LR,4.5,9.5,10275
18307025,LR,7.1,8.6,11797
16692027,LF,67.0,1.4,41953
20923007,LF,54.3,2.3,24377
101700,RF,21.4,8.5,29819
81518,LR,20.6,8.2,37408
81518,LF,20.6,8.8,37408
10497770,LF,36.8,5.7,71501
16521113,LF,22.1,7.3,15804
9077618,LR,10.0,8.5,19419
5968956,RR,10.0,9.5,8548
9936606,RR,30.2,6.4,57831
8698313,RF,61.1,1.7,26190
9077618,RR,10.0,8.7,19419
2123083,RR,11.4,9.0,20957
9091409,LR,1.5,10.3,2379
1383523,LF,24.4,7.3,5943
8047612,LF,22.1,7.6,45108
96689,LR,8.9,9.8,6266
17123317,RR,29.7,5.8,24282
17123317,LF,29.7,5.8,24282
9210558,LR,32.6,7.4,15115
562099,RR,5.6,10.0,10766
3354740,RR,18.4,7.6,33071
19783122,LR,46.2,5.5,374
13114730,RR,2.7,10.1,3377
18414342,LF,15.0,9.7,13709
852626,LF,3.1,10.1,831
9120653,LF,26.7,7.3,44578
9077618,LF,10.0,8.4,19419
7611238,RR,13.6,9.4,40681
12236529,LR,28.0,7.6,52079
3574425,RF,73.3,0.2,57513
7712464,RR,1.7,12.0,1593
101700,LR,21.4,8.1,29819
14952458,RF,29.6,6.5,348
8776827,RF,11.6,9.4,29234
6558415,LR,14.0,8.5,4296
4244690,RF,4.5,9.9,10275
6558415,LF,14.0,8.7,4296
15568188,RR,15.7,10.5,18228
6427907,LF,12.9,9.9,7493
8279608,RF,46.4,4.1,11422
18414342,LR,15.0,9.7,13709
963792,LF,15.2,9.1,23066
10497770,LR,36.8,6.0,71501
10793619,RF,12.1,9.6,38651
12000879,RF,27.9,6.2,19324
16521113,RR,22.1,7.4,15804
20069233,LR,44.3,3.6,21734
10396948,RR,70.1,2.4,64967
6684231,RR,8.8,10.1,74631
15870089,LF,12.7,9.2,9786
8776827,RR,11.6,9.2,29234
7611238,RF,13.6,9.4,40681
16521113,LR,22.1,7.8,15804
21679618,LF,17.2,8.0,39084
9107858,LF,18.4,7.8,170
18151133,RR,36.6,4.9,45095
3122472,RR,17.3,7.5,21073
16356967,RF,13.3,7.9,24334
4649613,RR,28.9,6.8,3447
13610191,LF,45.2,2.6,3106
2253006,RF,27.1,7.1,54780
14120767,RR,34.0,5.9,58557
138004,LR,20.2,8.7,36816
20069233,LF,44.3,3.3,21734
5545466,RR,11.4,8.9,14680
16692027,LR,67.0,1.6,41953
16252333,LF,12.9,9.1,13944
16521113,RF,22.1,7.2,15804
17123317,RF,29.7,5.8,24282
7656555,LF,19.7,8.8,11966
9107858,LR,18.4,7.5,170
8279608,RR,46.4,4.3,11422
5954899,LF,3.6,11.8,3963
8047612,RF,22.1,7.5,45108
8951784,LF,53.0,3.0,49033
2253006,LR,27.1,7.2,54780
6684231,LF,8.8,10.0,74631
16640256,LF,51.2,3.6,92876
16356967,LR,13.3,7.8,24334
20404616,LF,12.1,9.1,24360
11795512,LR,29.4,5.0,63479
16017035,LR,16.0,8.6,19408
13249532,LF,7.3,10.1,8655
7505415,LR,9.8,9.5,6417
20616796,RR,27.8,4.4,13530
12236529,RF,28.0,7.6,52079
