Customer,Label
1,Cellular
1,64GB
1,Speakers
2,RetinaDisplay
2,16GB
3,16GB
4,RetinaDisplay
4,Cellular
4,32GB
4,Case
4,Speakers
5,32GB
5,Speakers
6,RetinaDisplay
6,16GB
6,Stand
6,Stylus
7,Cellular
7,16GB
8,Cellular
8,16GB
8,Case
9,RetinaDisplay
9,64GB
10,RetinaDisplay
10,Cellular
10,32GB
10,Speakers
11,16GB
12,32GB
12,Speakers
13,RetinaDisplay
13,16GB
13,Stand
13,Stylus
14,RetinaDisplay
14,Cellular
14,64GB
14,Case
14,Stand
14,CameraKit
14,WirelessKeyboard
15,RetinaDisplay
15,Cellular
15,32GB
16,RetinaDisplay
16,Cellular
16,32GB
16,Speakers
17,32GB
18,32GB
19,RetinaDisplay
19,Cellular
19,64GB
19,Case
19,Stand
19,Speakers
20,RetinaDisplay
20,Cellular
20,32GB
20,Stand
20,Stylus
21,Cellular
21,16GB
22,RetinaDisplay
22,16GB
23,16GB
24,32GB
24,Speakers
25,32GB
26,Cellular
26,64GB
26,Stand
26,Speakers
27,RetinaDisplay
27,32GB
27,Case
27,Speakers
27,PlugBug
28,16GB
28,Stylus
29,RetinaDisplay
29,32GB
29,Case
29,Stand
29,Speakers
29,PlugBug
29,CameraKit
29,WirelessKeyboard
30,32GB
31,RetinaDisplay
31,Cellular
31,16GB
31,Speakers
32,16GB
33,32GB
33,Stand
33,WirelessKeyboard
34,32GB
34,Speakers
34,PlugBug
35,16GB
36,RetinaDisplay
36,Cellular
36,32GB
36,Case
36,Stand
36,Speakers
36,PlugBug
37,32GB
37,PlugBug
38,64GB
39,32GB
40,16GB
41,RetinaDisplay
41,64GB
41,Case
41,Speakers
42,64GB
43,RetinaDisplay
43,32GB
43,Stand
44,RetinaDisplay
44,Cellular
44,64GB
44,Case
44,Stand
45,16GB
45,Stand
46,16GB
47,RetinaDisplay
47,32GB
48,RetinaDisplay
48,16GB
49,RetinaDisplay
49,Cellular
49,64GB
49,Case
49,Stand
49,Speakers
49,PlugBug
50,16GB
51,RetinaDisplay
51,32GB
51,Stand
52,16GB
53,RetinaDisplay
53,64GB
53,Case
53,Stand
53,Speakers
53,PlugBug
53,CameraKit
53,WirelessKeyboard
54,16GB
55,RetinaDisplay
55,32GB
55,Stand
55,Speakers
56,RetinaDisplay
56,32GB
56,Stand
57,RetinaDisplay
57,64GB
57,Stand
57,Speakers
58,16GB
59,Cellular
59,64GB
59,Speakers
60,16GB
61,16GB
62,RetinaDisplay
62,32GB
62,Case
62,Stand
62,Stylus
63,RetinaDisplay
63,16GB
64,RetinaDisplay
64,32GB
64,Stand
64,Speakers
64,PlugBug
64,WirelessKeyboard
64,Stylus
65,RetinaDisplay
65,16GB
66,16GB
67,16GB
68,32GB
69,RetinaDisplay
69,Cellular
69,16GB
69,Stand
69,Speakers
70,16GB
71,RetinaDisplay
71,32GB
71,Stand
71,Speakers
71,PlugBug
71,WirelessKeyboard
71,Stylus
72,32GB
73,RetinaDisplay
73,16GB
74,RetinaDisplay
74,32GB
74,Speakers
74,PlugBug
75,RetinaDisplay
75,16GB
76,16GB
77,64GB
78,32GB
79,RetinaDisplay
79,16GB
79,Speakers
80,32GB
81,32GB
81,Case
81,Speakers
82,Cellular
82,16GB
83,16GB
83,Stylus
84,RetinaDisplay
84,Cellular
84,64GB
84,Case
85,RetinaDisplay
85,Cellular
85,32GB
85,Speakers
86,RetinaDisplay
86,16GB
86,Speakers
87,16GB
88,16GB
88,Case
88,Speakers
89,16GB
90,RetinaDisplay
90,16GB
91,64GB
92,64GB
93,16GB
93,Stand
94,RetinaDisplay
94,32GB
94,Speakers
95,RetinaDisplay
95,Cellular
95,64GB
95,Case
95,Speakers
96,RetinaDisplay
96,Cellular
96,16GB
97,RetinaDisplay
97,Cellular
