HistoryID,Website
1,9Gag
1,WordPress
2,CNN
2,Twitter
2,NBA
2,HuskerMax
3,Craigslist
3,About
3,Pandora
3,BleacherReport
3,NFL
3,Groupon
3,BuzzFeed
4,Wikipedia
4,CNN
4,YouTube
4,WeatherChannel
4,BleacherReport
4,SheKnows
5,FoxNews
5,CNET
5,WebMD
5,WashingtonPost
5,eBay
6,Amazon
6,Pinterest
6,HuskerMax
7,Flickr
7,About
7,HuskerMax
7,SmittenKitchen
8,Amazon
8,Mint
9,CNN
9,ESPN
9,WeatherChannel
10,About
10,TripAdvisor
10,SmittenKitchen
11,Pinterest
11,BleacherReport
11,Allrecipes
11,Style
12,9Gag
12,About
12,Twitter
12,SheKnows
13,Amazon
13,WeatherChannel
13,WallStreetJournal
14,About
14,YouTube
14,NFL
14,SmittenKitchen
15,Babble
15,BleacherReport
15,NFL
16,HuffingtonPost
16,BuzzFeed
16,Mint
17,Tumblr
17,IMDB
17,About
17,WebMD
18,ESPN
18,TheGuardian
19,MensHealth
20,Blogspot
20,NewYorkTimes
20,Twitter
20,USAtoday
21,MSN
21,Pinterest
21,Flickr
21,Twitter
21,eBay
22,TheEveryGirl
22,Wikipedia
22,BuzzFeed
22,SheKnows
23,Facebook
23,YouTube
23,Twitter
24,BleacherReport
24,NewEgg
24,SheKnows
25,About
25,SmittenKitchen
26,Twitter
26,Match
27,CNN
27,WeatherChannel
27,SheKnows
28,TheEveryGirl
28,Blogger
28,NBA
29,TheEveryGirl
29,Amazon
29,SheKnows
30,Amazon
30,HuffingtonPost
30,MensHealth
31,Amazon
31,IMDB
31,USAtoday
32,TheEveryGirl
32,WeatherChannel
32,Allrecipes
33,Blogspot
33,BleacherReport
33,NFL
34,Deadspin
34,Twitter
34,NBA
34,eBay
35,BleacherReport
35,NFL
35,TheGuardian
35,WashingtonPost
36,YouTube
36,Twitter
37,Groupon
37,HuskerMax
37,MensHealth
38,Wikipedia
38,Blogger
38,Babble
39,Babble
39,Deadspin
39,NBA
40,CNET
40,BleacherReport
40,NFL
40,HuskerMax
41,Amazon
41,ZergNet
41,NFL
41,WashingtonPost
41,NBA
42,Tumblr
42,ESPN
42,Deadspin
42,WebMD
42,MensHealth
43,HuffingtonPost
43,FoxNews
43,BuzzFeed
43,Mint
44,HuffingtonPost
44,WordPress
44,TripAdvisor
45,Craigslist
45,BleacherReport
45,NFL
46,CNN
46,WeatherChannel
46,CNET
47,Babble
47,NewYorkTimes
47,WallStreetJournal
47,TheGuardian
48,Amazon
48,Pinterest
48,SheKnows
49,Wikipedia
49,IMDB
49,BleacherReport
49,Mint
50,About
50,FoxNews
