School,StadiumCapacity,Longitude,Latitude,Endowment ($000),Enrollment
Air Force Falcons ,52480,-104.759899,38.8632,56600,4413
Akron Zips ,30000,-81.521499,41.0804,171513,27470
Alabama Crimson Tide,101821,-87.540979,33.2377,995147,31647
Arizona State Sun Devils,73379,-111.930639,33.38835,514724,72254
Arizona Wildcats,57803,-110.891717,32.195816,552351,39236
Arkansas Razorbacks,76000,-94.155684,36.0718,788668,23199
Arkansas State Red Wolves ,30964,-90.685768,35.821828,39479,13900
Army Black Knights ,40000,-74.027317,41.362343,73190,4624
Auburn Tigers,87451,-85.480322,32.5929,471851,25469
Ball State Cardinals,22500,-87.842539,40.115904,140275,22147
Baylor Bears ,50000,-97.183198,31.56895,1003929,15029
Boise State Broncos,37000,-116.2261,43.606651,72507,19664
Boston College Eagles ,44500,-71.017892,42.336029,1726100,13906
Bowling Green Falcons,23724,-83.6514,41.3747,141788,17577
Buffalo Bulls,29013,-78.859684,42.8898,494791,28860
BYU Cougars,63725,-111.642674,40.24715,920149,34101
California Golden Bears,62717,-122.29729,37.86725,3257667,25885
Central Michigan Chippewas ,30199,-84.778251,43.596552,85267,28194
Charlotte 49ers,15300,-80.834514,35.19755,140913,25277
Cincinnati Bearcats ,35000,-84.505957,39.139801,1004368,32264
Clemson Tigers,81500,-82.812853,34.684019,473748,19914
Colorado Buffaloes ,53750,-105.251025,40.026881,784580,32252
Colorado State Rams ,34400,-105.068481,40.55555,221231,30450
Connecticut Huskies,40000,-72.256675,41.806054,312329,25868
Duke Blue Devils ,33941,-78.914969,35.980433,5747377,15427
East Carolina Pirates ,50000,-77.374398,35.599826,128551,27386
Eastern Michigan Eagles ,30200,-83.621106,42.2442,47101,23341
Florida International Golden Panthers,20000,-80.210845,25.775667,136237,44686
Florida Atlantic Owls ,30000,-80.106624,26.3727,179739,29290
Florida Gators,92548,-82.336277,29.67415,1295313,49589
Florida State Seminoles,82300,-84.281399,30.457,525260,41087
Fresno State Bulldogs ,41031,-119.792874,36.7806,127293,21981
Georgia Bulldogs,92746,-83.393701,33.9553,745765,34816
Georgia State Panthers,71149,-84.422592,33.7629,113199,32022
Georgia Tech Yellow Jackets,55000,-84.422592,33.7629,1619718,20941
Hawaii Warriors,50000,-155.087501,19.696151,215119,20429
Houston Cougars ,32000,-95.386728,29.7687,662984,39820
Idaho Vandals,16000,-116.996844,46.729767,192003,12312
Illinois Fighting Illini,60670,-88.264949,40.113,1600603,44407
