EmployeeID,UsageRate,Recognition,Leader
1,0,0,0
2,0.633,0,0
3,0.003,0,0
4,0,0,0
5,0,0,0
6,0.029,0,0
7,0.382,0,0
8,0.94,1,0
9,0.023,0,0
10,0.08,0,0
11,0.265,0,0
12,0.032,0,0
13,0.03,0,0
14,0.835,1,0
15,0.874,1,0
16,0.459,0,0
17,0.179,0,0
18,0.057,0,0
19,0.188,0,0
20,0.012,0,0
21,0.429,0,0
22,0.157,0,0
23,0,0,0
24,0.011,0,0
25,0.158,0,0
26,0.067,0,0
27,0.142,0,0
28,0.447,0,0
29,0,0,0
30,0.004,0,0
31,0.122,0,0
32,0.026,0,0
33,0.148,0,0
34,0.283,0,0
35,0.883,2,0
36,0.584,2,0
37,0.005,0,0
38,0.134,0,0
39,0.002,0,0
40,0.115,0,0
41,0.047,0,0
42,0.186,0,0
43,0.033,0,0
44,0.924,0,0
45,0.376,0,0
46,0.023,0,0
47,0.74,0,0
48,0.058,0,0
49,0.001,0,0
50,0.151,0,0
51,0.047,0,0
52,0.244,0,0
53,0.009,0,0
54,0,0,0
55,0.039,0,0
56,0.002,0,0
57,0.179,0,0
58,0.073,0,0
59,0.865,1,0
60,0.854,0,0
61,0.184,0,0
62,0.187,0,0
63,0.183,0,0
64,0.254,0,0
65,0.061,0,0
66,0.034,0,0
67,0.655,3,0
68,0.912,2,0
69,0.633,2,0
70,0.068,0,0
71,0.413,0,0
72,0.118,0,0
73,0.269,0,0
74,0.528,0,0
75,0.051,0,0
76,0.287,0,0
77,0.615,0,0
78,0.76,2,1
79,0.798,3,0
80,0.819,4,0
81,0.887,0,0
82,0.232,0,0
83,0.348,0,0
84,0.689,1,0
85,0.476,1,0
86,0.994,3,2
87,0.017,0,0
88,0.718,0,0
89,0.108,0,0
90,0.053,0,0
91,0.69,0,0
92,0.012,0,0
93,0.483,0,0
94,0.024,0,0
95,0.16,0,0
96,0.665,0,0
97,0.713,0,0
98,0.954,3,2
99,0.613,1,0
100,0.137,0,0
101,0.9,1,0
102,0.006,0,0
103,0.482,1,0
104,0.538,3,1
105,0.74,2,0
106,0.232,0,0
107,0.016,0,0
