Store,Longitude,Latitude
1,-123.79,46.19
2,-123.26,44.58
3,-122.99,45.52
4,-122.88,42.33
5,-122.8,45.49
6,-122.72,45.41
7,-122.69,47.64
8,-122.64,45.48
9,-122.64,38.23
10,-122.64,45.54
11,-122.62,45.53
12,-122.57,45.42
13,-122.55,45.62
14,-122.55,47.24
15,-122.51,45.44
16,-122.5,37.97
17,-122.49,48.76
18,-122.49,37.68
19,-122.48,37.98
20,-122.42,37.65
21,-122.41,37.77
22,-122.4,47.57
23,-122.39,37.6
24,-122.34,47.74
25,-122.34,37.52
26,-122.32,47.32
27,-122.31,37.53
28,-122.3,38.32
29,-122.3,47.4
30,-122.3,47.61
31,-122.29,37.84
32,-122.29,38
33,-122.28,37.77
34,-122.27,37.85
35,-122.26,37.51
36,-122.19,47.9
37,-122.16,37.45
38,-122.14,47.61
39,-122.12,37.89
40,-122.09,37.38
41,-122.07,37.69
42,-122.03,37.35
43,-122.03,38.03
44,-122.02,36.97
45,-122.02,37.95
46,-122,37.82
47,-121.99,37.31
48,-121.97,36.98
49,-121.96,37.24
50,-121.95,37.28
51,-121.89,36.6
52,-121.88,37.25
53,-121.86,37.3
54,-121.76,38.55
55,-121.7,37.93
56,-121.65,37.13
57,-121.49,38.58
58,-121.44,38.57
59,-121.39,38.63
60,-121.32,38
61,-121.32,44.06
62,-121.27,38.64
63,-121.18,38.68
64,-121.02,37.72
65,-120.71,35.55
66,-120.6,35.25
67,-120.59,35.12
68,-120.44,34.95
69,-119.83,34.44
70,-119.82,39.53
71,-119.78,36.74
72,-119.78,39.11
73,-119.76,36.82
74,-119.73,34.44
75,-119.73,36.85
76,-119.68,34.43
77,-119.04,34.22
78,-119.02,35.38
79,-119.02,35.37
80,-118.91,34.18
81,-118.87,34.22
82,-118.81,34.15
83,-118.76,34.15
84,-118.64,34.2
85,-118.59,34.15
86,-118.52,34.43
87,-118.5,34.28
88,-118.42,34.04
89,-118.39,34.02
90,-118.39,33.98
91,-118.39,34.14
92,-118.39,33.74
93,-118.38,34.09
94,-118.37,33.83
95,-118.37,34.15
96,-118.37,33.82
97,-118.37,34.07
98,-118.36,34.06
99,-118.36,34.18
100,-118.35,33.84
101,-118.35,34.15
102,-118.33,34.1
103,-118.32,34.11
104,-118.31,33.76
105,-118.31,34.18
106,-118.27,34.19
107,-118.22,34.21
108,-118.21,34.54
109,-118.2,34.14
