Beer Drinker,Beer Preference,Snack Chip Preference
1,Regular,Potato
2,Light,Corn
3,Regular,Potato
4,Regular,Potato
5,Regular,Corn
6,Regular,Potato
7,Dark,Potato
8,Dark,Potato
9,Dark,Potato
10,Light,Corn
11,Light,Potato
12,Dark,Corn
13,Regular,Potato
14,Regular,Potato
15,Light,Potato
16,Regular,Potato
17,Dark,Potato
18,Regular,Potato
19,Light,Corn
20,Regular,Corn
21,Regular,Corn
22,Light,Potato
23,Regular,Potato
24,Light,Corn
25,Light,Potato
26,Dark,Potato
27,Light,Potato
28,Light,Potato
29,Regular,Potato
30,Light,Potato
31,Light,Potato
32,Light,Corn
33,Regular,Potato
34,Dark,Potato
35,Regular,Potato
36,Regular,Corn
37,Regular,Potato
38,Dark,Potato
39,Regular,Corn
40,Dark,Potato
41,Light,Corn
42,Dark,Corn
43,Dark,Potato
44,Regular,Corn
45,Light,Potato
46,Light,Potato
47,Regular,Potato
48,Light,Corn
49,Light,Potato
50,Regular,Potato
51,Light,Potato
52,Light,Potato
53,Light,Corn
54,Regular,Corn
55,Light,Potato
56,Regular,Potato
57,Dark,Potato
58,Light,Corn
59,Light,Potato
60,Dark,Potato
61,Regular,Potato
62,Regular,Potato
63,Light,Corn
64,Dark,Potato
65,Light,Potato
66,Light,Corn
67,Regular,Corn
68,Light,Potato
69,Light,Potato
70,Regular,Potato
71,Light,Potato
72,Regular,Potato
73,Regular,Potato
74,Regular,Potato
75,Light,Corn
76,Dark,Potato
77,Regular,Potato
78,Light,Corn
79,Regular,Potato
80,Regular,Potato
81,Light,Corn
82,Light,Corn
83,Light,Potato
84,Regular,Potato
85,Light,Potato
86,Light,Corn
87,Light,Potato
88,Light,Potato
89,Regular,Corn
90,Regular,Potato
91,Regular,Corn
92,Light,Potato
93,Regular,Potato
94,Light,Potato
95,Light,Potato
96,Regular,Potato
97,Regular,Potato
98,Light,Corn
99,Light,Corn
100,Dark,Potato
101,Light,Potato
102,Regular,Potato
103,Dark,Potato
104,Light,Corn
105,Dark,Potato
106,Regular,Potato
107,Light,Potato
108,Light,Potato
109,Light,Potato
110,Regular,Corn
111,Regular,Potato
112,Regular,Potato
113,Light,Potato
114,Regular,Potato
115,Light,Corn
116,Dark,Potato
117,Light,Corn
118,Light,Corn
119,Regular,Potato
120,Light,Corn
121,Light,Potato
122,Light,Corn
123,Light,Corn
124,Light,Potato
125,Regular,Corn
126,Regular,Potato
127,Regular,Potato
128,Dark,Potato
129,Regular,Potato
130,Dark,Corn
131,Light,Corn
132,Dark,Potato
133,Dark,Corn
134,Light,Potato
135,Light,Corn
136,Light,Corn
137,Dark,Corn
138,Regular,Potato
139,Light,Corn
140,Dark,Potato
141,Dark,Potato
142,Light,Potato
143,Light,Potato
144,Light,Potato
145,Light,Corn
146,Light,Potato
147,Regular,Corn
148,Light,Corn
149,Light,Corn
150,Dark,Potato
151,Light,Potato
152,Light,Corn
153,Regular,Corn
154,Regular,Potato
155,Regular,Corn
156,Regular,Corn
157,Regular,Potato
158,Dark,Potato
159,Light,Corn
160,Regular,Potato
161,Regular,Potato
162,Light,Potato
163,Light,Potato
164,Light,Potato
165,Regular,Potato
166,Light,Potato
167,Dark,Corn
168,Dark,Potato
169,Regular,Potato
170,Light,Corn
171,Regular,Corn
172,Regular,Potato
173,Dark,Corn
174,Dark,Corn
175,Light,Corn
176,Regular,Potato
177,Light,Corn
178,Regular,Potato
179,Regular,Potato
180,Light,Corn
181,Regular,Corn
182,Regular,Corn
183,Regular,Potato
184,Light,Potato
185,Regular,Potato
186,Light,Corn
187,Regular,Corn
188,Regular,Potato
189,Regular,Potato
190,Regular,Corn
191,Dark,Potato
192,Light,Potato
193,Light,Potato
194,Regular,Potato
195,Light,Potato
196,Light,Potato
197,Regular,Potato
198,Light,Potato
199,Light,Potato
200,Light,Potato
