Country,Use Social Media?
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
