Tract,Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedianHouseValue
1,-122.23,37.88,41,880,129,322,126,8.3252,452.6
2,-122.24,37.85,52,1467,190,496,177,7.2574,352.1
3,-122.25,37.85,52,1274,235,558,219,5.6431,341.3
4,-122.25,37.85,52,1627,280,565,259,3.8462,342.2
5,-122.25,37.85,52,919,213,413,193,4.0368,269.7
6,-122.25,37.84,52,3104,687,1157,647,3.12,241.4
7,-122.26,37.84,42,2555,665,1206,595,2.0804,226.7
8,-122.26,37.85,52,2202,434,910,402,3.2031,281.5
9,-122.26,37.85,52,3503,752,1504,734,3.2705,241.8
10,-122.26,37.85,52,2491,474,1098,468,3.075,213.5
11,-122.26,37.84,52,696,191,345,174,2.6736,191.3
12,-122.26,37.85,52,2643,626,1212,620,1.9167,159.2
13,-122.26,37.85,50,1120,283,697,264,2.125,140
14,-122.27,37.85,52,1966,347,793,331,2.775,152.5
15,-122.26,37.84,50,2239,455,990,419,1.9911,158.7
16,-122.27,37.84,52,1503,298,690,275,2.6033,162.9
17,-122.27,37.85,40,751,184,409,166,1.3578,147.5
18,-122.27,37.85,42,1639,367,929,366,1.7135,159.8
19,-122.27,37.84,52,2436,541,1015,478,1.725,113.9
20,-122.27,37.84,52,1688,337,853,325,2.1806,99.7
21,-122.27,37.84,52,2224,437,1006,422,2.6,132.6
22,-122.28,37.85,41,535,123,317,119,2.4038,107.5
23,-122.28,37.85,49,1130,244,607,239,2.4597,93.8
24,-122.28,37.85,52,1898,421,1102,397,1.808,105.5
25,-122.28,37.84,50,2082,492,1131,473,1.6424,108.9
26,-122.28,37.84,52,729,160,395,155,1.6875,132
27,-122.28,37.84,49,1916,447,863,378,1.9274,122.3
28,-122.28,37.84,52,2153,481,1168,441,1.9615,115.2
29,-122.27,37.84,48,1922,409,1026,335,1.7969,110.4
30,-122.27,37.83,49,1655,366,754,329,1.375,104.9
31,-122.27,37.83,51,2665,574,1258,536,2.7303,109.7
32,-122.27,37.83,49,1215,282,570,264,1.4861,97.2
33,-122.27,37.83,48,1798,432,987,374,1.0972,104.5
34,-122.26,37.83,52,1470,330,689,309,3.48,191.4
35,-122.26,37.83,52,2432,715,1377,696,2.5898,176
36,-122.26,37.83,52,1665,419,946,395,2.0978,155.4
37,-122.26,37.83,51,936,311,517,249,1.2852,150
38,-122.26,37.84,49,713,202,462,189,1.025,118.8
39,-122.26,37.84,52,950,202,467,198,3.9643,188.8
40,-122.26,37.83,52,1443,311,660,292,3.0125,184.4
41,-122.26,37.83,52,1656,420,718,382,2.6768,182.3
42,-122.26,37.83,50,1125,322,616,304,2.026,142.5
43,-122.27,37.82,43,1007,312,558,253,1.7348,137.5
44,-122.26,37.82,40,624,195,423,160,0.9506,187.5
45,-122.27,37.82,40,946,375,700,352,1.775,112.5
46,-122.27,37.82,21,896,453,735,438,0.9218,171.9
47,-122.27,37.82,43,1868,456,1061,407,1.5045,93.8
48,-122.27,37.82,41,3221,853,1959,720,1.1108,97.5
49,-122.27,37.82,52,1630,456,1162,400,1.2475,104.2
50,-122.28,37.82,52,1170,235,701,233,1.6098,87.5
51,-122.28,37.82,52,945,243,576,220,1.4113,83.1
52,-122.28,37.82,52,1238,288,622,259,1.5057,87.5
53,-122.28,37.82,52,1489,335,728,244,0.8172,85.3
54,-122.28,37.82,52,1387,341,1074,304,1.2171,80.3
55,-122.29,37.83,52,1121,211,554,187,3.3929,75.7
56,-122.29,37.82,49,135,29,86,23,6.1183,75
57,-122.29,37.81,50,760,190,377,122,0.9011,86.1
58,-122.3,37.81,52,1224,237,521,159,1.191,76.1
59,-122.3,37.81,48,828,182,392,133,2.5938,73.5
60,-122.3,37.81,52,1010,209,604,187,1.1667,78.4
61,-122.3,37.81,48,1455,354,788,332,0.8056,84.4
62,-122.29,37.8,52,1027,244,492,147,2.6094,81.3
63,-122.3,37.81,52,572,109,274,82,1.8516,85
64,-122.29,37.81,46,2801,644,1823,611,0.9802,129.2
65,-122.29,37.81,26,768,152,392,127,1.7719,82.5
66,-122.29,37.81,46,935,297,582,277,0.7286,95.2
67,-122.29,37.81,49,844,204,560,152,1.75,75
68,-122.29,37.81,20,835,161,290,133,2.483,137.5
69,-122.28,37.81,17,1237,462,762,439,0.9241,177.5
70,-122.28,37.81,36,2914,562,1236,509,2.4464,102.1
71,-122.28,37.81,19,1207,243,721,207,1.1111,108.3
72,-122.29,37.81,23,1745,374,1054,325,0.8026,112.5
73,-122.28,37.8,38,684,176,344,155,2.0114,131.3
74,-122.28,37.81,17,924,289,609,289,1.5,162.5
