Individual,BureauInquiries,CreditUsage,TotalCredit,CollectionReports,MissedPayments,HomeOwner,CreditAge,TimeOnJob,CreditScore
1,7,0.270,18000,0,2,0,6.40,3,656
2,7,0.230,16000,0,1,1,6.70,6,695
3,7,0.270,18000,0,1,0,6.40,3,719
4,8,0.230,21000,0,0,1,7.10,6,640
5,8,0.420,32000,0,2,0,10.10,6,577
6,6,0.170,19000,0,0,1,8.20,11,746
7,6,0.660,24000,0,0,1,5.40,15,763
8,6,0.310,8000,0,0,1,7.50,5,589
9,6,0.660,24000,0,0,1,5.40,15,791
10,6,0.310,20000,0,0,1,5.00,10,681
11,6,0.260,20000,0,0,1,7.50,8,821
12,6,0.270,20500,0,0,1,7.00,7,710
13,7,0.250,16000,0,2,1,7.20,8,726
14,7,0.280,18500,0,0,1,7.50,8,749
15,7,0.270,25000,0,0,1,7.80,11,668
16,8,0.140,17000,0,0,1,6.60,7,748
17,7,0.250,18000,0,0,1,6.40,9,693
18,5,0.270,11000,0,2,1,5.60,7,600
19,6,0.390,11500,0,0,1,5.00,7,649
20,6,0.240,19500,0,1,0,5.20,5,710
21,6,0.230,13000,1,1,1,8.50,5,678
22,6,0.450,15000,1,4,1,7.40,6,485
23,6,0.460,12500,1,2,1,7.40,6,624
24,7,0.310,13000,0,1,1,6.40,6,693
25,6,0.180,17500,0,0,1,5.70,9,733
26,6,0.250,17500,0,1,1,7.00,10,748
27,7,0.210,17000,0,2,0,7.80,5,681
28,6,0.380,7500,0,0,0,5.60,7,715
29,7,0.200,18000,0,0,1,5.70,6,685
30,6,0.220,12000,0,0,0,6.80,2,696
31,6,0.190,13000,0,0,1,5.70,3,691
32,7,0.240,13500,0,0,1,6.90,7,673
33,6,0.350,5000,0,0,1,8.30,4,628
34,6,0.250,7500,0,2,1,6.40,6,619
35,6,0.270,15000,1,2,1,10.00,7,583
36,7,0.240,15500,1,1,1,5.50,5,563
37,7,0.320,17000,0,0,1,9.00,13,714
38,6,0.540,15000,0,0,1,5.00,4,567
39,6,0.220,15500,0,0,1,11.80,8,703
40,7,0.200,18000,0,1,1,9.60,4,661
41,7,0.340,11000,1,2,1,6.00,7,575
42,7,0.220,15000,0,1,1,6.50,5,705
