Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
1,15000,2013,ford,f-150 xlt,excellent,6,gas,128000,automatic,rwd,truck,black,al
2,35000,2019,toyota,tacoma,excellent,6,gas,43000,automatic,4wd,truck,grey,al
3,19900,2004,ford,f250 super duty,good,8,diesel,88000,automatic,4wd,truck,blue,al
4,14000,2012,honda,odyssey,excellent,6,gas,95000,automatic,fwd,mini-van,silver,al
5,22500,2001,ford,f450,good,8,diesel,144700,manual,rwd,truck,white,al
6,3000,2004,chrysler,town & country,good,6,gas,176144,automatic,fwd,mini-van,silver,al
7,9500,2003,chrysler,town & country,excellent,6,gas,30376,automatic,fwd,mini-van,blue,al
8,6000,2007,mercedes-benz,e320 cdi,good,6,diesel,124000,automatic,rwd,sedan,blue,al
9,4000,2006,jeep,grand cherokee laredo,good,6,gas,281000,automatic,rwd,SUV,black,al
10,21950,2012,toyota,tacoma 4x4,excellent,4,gas,143060,manual,4wd,truck,silver,al
11,13950,2011,toyota,tacoma,good,4,gas,151060,automatic,rwd,truck,silver,al
12,12950,2005,bmw,z4,excellent,6,gas,69586,automatic,rwd,convertible,white,al
13,18950,2010,ford,f150 lariat supercrew 4x4,good,8,gas,151403,automatic,4wd,truck,black,al
14,6995,2011,volkswagen,jetta sel,excellent,5,gas,172752,automatic,fwd,sedan,black,al
15,12500,2008,ford,ranger xlt,excellent,6,gas,141345,automatic,rwd,truck,grey,al
16,16950,2007,toyota,tacoma double cab,good,6,gas,156792,automatic,rwd,truck,white,al
17,22950,2014,ford,f150 supercrew cab xlt,excellent,8,gas,166380,automatic,4wd,truck,black,al
18,12950,2011,honda,crv ex,excellent,4,gas,87994,automatic,fwd,SUV,silver,al
19,12950,2007,mazda,mx-5 miata touring,excellent,4,gas,90610,automatic,rwd,convertible,black,al
20,13950,2011,mazda,mx-5 miata grand touring,excellent,4,gas,138235,automatic,rwd,convertible,red,al
21,19950,2009,porsche,boxster,excellent,6,gas,80190,automatic,rwd,convertible,red,al
22,13950,2008,mazda,miata,excellent,4,gas,86650,manual,rwd,convertible,grey,al
23,10950,2009,lexus,rx350,excellent,6,gas,191955,automatic,4wd,SUV,white,al
24,32000,2008,chevrolet,silverado 2500,good,8,diesel,109600,automatic,4wd,truck,white,al
25,4000,2002,toyota,echo,excellent,4,gas,155000,automatic,fwd,sedan,blue,al
26,3000,2004,chevrolet,blazer,good,6,gas,131500,automatic,4wd,SUV,white,al
27,2500,1995,bmw,525i,fair,6,gas,110661,automatic,rwd,sedan,white,al
28,12500,2008,gmc,yukon xl,excellent,8,gas,177326,automatic,rwd,SUV,black,al
29,2500,2008,honda,accord,good,6,gas,204561,automatic,fwd,sedan,silver,al
30,8100,2011,ford,escape,excellent,6,hybrid,140000,automatic,fwd,SUV,white,al
31,5500,1974,mercedes-benz,1929 ssk replica,good,4,gas,9999,automatic,rwd,convertible,yellow,al
32,6800,2004,mercedes-benz,clk320,good,6,gas,116700,automatic,rwd,convertible,silver,al
33,45000,2017,chevrolet,silverado,excellent,8,gas,92000,automatic,4wd,truck,red,al
34,9000,2008,mazda,miata mx-5,excellent,4,gas,56700,automatic,rwd,convertible,white,al
35,19500,2008,ram,3500,good,6,diesel,161000,manual,4wd,truck,silver,al
36,15000,2009,toyota,tacoma 4x4,good,6,gas,213800,automatic,4wd,truck,silver,al
37,8950,2011,ford,f-150,excellent,6,gas,164000,automatic,fwd,truck,white,al
38,4000,1972,mercedes-benz,benz,fair,6,gas,88100,automatic,rwd,coupe,silver,al
39,50000,2019,toyota,tundra,like new,8,gas,20010,automatic,4wd,truck,white,al
40,1200,2005,chevrolet,impala,fair,4,gas,256806,automatic,fwd,sedan,blue,al
41,8888,2005,nissan,altima 3.5 sl,excellent,6,gas,53320,automatic,fwd,sedan,brown,al
42,98900,2001,ferrari,360 modena,good,8,gas,20187,automatic,rwd,convertible,red,al
43,16500,2011,ford,f250 super duty,excellent,8,gas,201766,automatic,4wd,truck,white,al
44,9400,2008,mercedes-benz,benz c350,good,6,gas,129473,automatic,rwd,sedan,silver,al
