Observation,Vote,Age,HomeOwner,Gender,Married,HouseholdSize,Income,Education,Religious
1,undecided,51,1,female,1,4,171,15,0
2,decided,46,1,female,1,6,420,15,1
3,undecided,55,1,male,1,6,132,16,0
4,decided,50,1,male,1,4,18,8,0
5,undecided,49,1,female,1,2,66,15,1
6,undecided,56,1,female,1,5,127,13,1
7,undecided,30,1,female,1,7,79,15,1
8,decided,54,0,female,1,5,122,12,0
9,decided,45,1,female,1,5,83,18,1
10,decided,34,1,male,1,3,289,15,0
11,undecided,41,1,male,0,4,74,15,0
12,decided,49,1,female,1,3,222,20,1
13,undecided,56,1,male,1,3,73,16,0
14,decided,41,1,female,1,5,161,9,1
15,decided,59,1,other,1,4,71,20,1
16,decided,38,0,female,1,3,242,18,1
17,decided,52,1,male,1,3,276,15,0
18,decided,47,1,female,1,3,130,20,1
19,undecided,57,1,female,1,2,94,15,0
20,decided,66,1,other,1,4,163,20,1
21,undecided,54,1,other,1,5,99,18,0
22,undecided,48,1,female,1,3,104,18,0
23,decided,63,1,female,0,3,174,20,1
24,undecided,62,1,male,0,2,136,16,0
25,decided,37,1,male,1,2,198.5,9,1
26,decided,67,1,female,1,3,18,8,0
27,undecided,54,1,female,0,1,53,20,0
28,undecided,56,1,female,1,3,80,20,0
29,undecided,51,1,female,1,3,53,16,0
30,decided,35,1,female,1,3,78,18,1
31,undecided,38,1,female,0,3,40.5,15,0
32,undecided,63,1,female,1,3,90,20,0
33,undecided,52,0,female,0,4,53,16,1
34,undecided,32,1,male,1,4,75,18,0
35,decided,52,1,female,1,5,172,18,1
36,decided,43,1,male,1,2,90,9,0
37,decided,38,0,female,1,5,354,15,0
38,decided,53,1,male,1,4,227,18,0
39,decided,58,1,female,1,4,77,20,1
40,decided,53,1,female,0,4,106,18,1
41,undecided,57,1,female,0,1,65,20,0
42,undecided,53,1,female,1,7,134,15,1
43,decided,57,1,female,1,2,139,12,1
44,undecided,57,1,female,1,3,4,20,0
45,decided,37,1,male,1,3,62,8,0
46,decided,50,1,female,1,3,101,20,1
47,decided,45,1,female,1,4,323,15,0
48,undecided,55,1,female,1,5,26,16,1
49,undecided,34,1,male,1,5,66,15,0
50,decided,50,1,female,0,3,41,20,1
51,decided,64,1,female,1,3,103,8,0
52,undecided,50,1,female,1,3,58,15,1
53,decided,35,1,female,1,5,174,18,1
54,decided,49,1,female,1,5,66,20,1
55,undecided,64,1,female,1,5,73,20,0
56,undecided,54,1,other,1,2,218,18,1
57,decided,37,0,male,1,2,114,18,1
58,undecided,48,1,female,1,2,49,15,1
59,decided,65,0,female,1,5,32,8,0
60,decided,39,1,female,1,3,167,18,1
61,decided,49,1,female,1,4,216,12,0
62,undecided,39,1,other,1,4,84,15,1
63,decided,56,1,other,1,2,88,20,1
64,decided,54,1,male,1,2,82,9,0
65,decided,48,1,other,0,1,68,10,0
66,decided,54,1,female,1,2,47,8,1
67,undecided,42,1,female,1,3,138,15,1
68,undecided,51,1,female,0,1,92,18,0
69,undecided,73,0,female,1,2,90,20,0
70,undecided,65,1,female,1,4,171,20,0
71,undecided,47,1,other,1,5,96,15,0
72,decided,33,1,other,1,4,81,8,0
73,decided,44,1,male,1,7,135,20,0
74,decided,45,1,male,1,6,190,16,0
75,undecided,51,1,female,1,4,150,18,0
76,undecided,38,1,female,1,4,130,15,0
77,undecided,38,1,female,1,3,131,18,0
78,decided,43,1,female,1,4,119,20,1
79,decided,55,1,female,1,3,78.5,20,1
80,decided,43,0,male,0,1,24,8,1
81,decided,59,1,male,0,3,71,20,0
82,undecided,51,1,female,1,3,164,13,1
83,undecided,55,1,female,1,5,51,20,0
84,undecided,51,1,female,1,3,127,18,0
85,decided,54,1,female,1,3,92,20,1
86,decided,48,0,male,1,3,85,20,0
87,decided,54,1,male,1,4,126,18,1
88,undecided,64,1,male,1,3,100,16,0
89,undecided,62,0,female,0,3,65.5,20,0
90,undecided,39,1,male,1,4,91,15,0
91,undecided,43,1,female,1,4,233,18,0
92,decided,66,1,other,0,2,38,20,1
93,decided,44,1,female,1,3,157,12,1
94,decided,60,1,male,1,2,134,20,0
95,undecided,37,1,female,1,3,161,18,0
96,decided,47,1,female,1,3,101,12,1
97,decided,46,0,other,1,4,123,18,1
98,undecided,46,1,female,0,1,85,18,0
99,undecided,61,1,female,1,5,108,20,0
100,decided,41,1,female,1,4,99,18,1
101,undecided,57,1,female,1,5,87,16,0
102,decided,50,1,female,1,3,44,18,1
103,decided,52,1,female,1,4,57,8,0
104,decided,55,1,male,1,4,237,20,0
105,decided,56,1,male,1,4,56,20,1
106,decided,69,1,other,1,2,30,20,1
107,decided,33,1,female,1,2,111.5,8,0
108,undecided,37,0,female,1,4,107,15,0
109,undecided,51,1,female,1,3,82,20,0
110,undecided,36,1,male,1,3,160,15,1
111,undecided,46,1,female,1,2,96,18,0
112,decided,39,1,female,0,4,31,18,1
113,undecided,64,1,female,1,3,16,13,0
114,decided,53,1,female,1,5,124,8,1
115,undecided,46,1,other,0,1,82,18,0
116,decided,61,1,male,1,3,77,20,1
117,decided,47,1,male,1,4,132,12,0
118,undecided,36,1,female,1,7,60,15,1
119,undecided,49,1,male,1,4,138,16,1
120,decided,63,1,female,1,5,450,20,1
121,undecided,37,1,male,1,3,20,12,1
122,decided,41,1,other,0,2,22,10,1
123,decided,54,1,male,1,3,110.5,8,1
124,decided,46,0,female,0,1,135.5,8,0
125,decided,47,1,male,1,3,177,20,1
126,undecided,61,1,male,1,6,12,16,1
127,undecided,42,0,female,1,5,59,18,0
128,undecided,35,1,other,1,6,28,15,0
129,decided,49,1,female,1,2,117,12,1
130,undecided,58,1,female,1,2,112,20,0
131,decided,57,1,female,1,2,108,8,1
132,decided,45,1,female,1,2,98,18,1
133,undecided,33,1,other,1,3,21,18,1
134,decided,43,1,other,1,6,77,12,0
135,decided,44,1,other,0,5,79.5,18,1
136,undecided,58,0,female,1,3,16,16,0
137,undecided,43,1,female,1,6,119,15,1
138,decided,43,1,female,1,4,85,20,1
139,decided,51,0,male,1,3,107,9,0
140,decided,54,0,male,1,3,49,8,0
141,undecided,49,1,female,1,4,154,15,1
142,decided,75,1,female,0,1,67,20,1
143,undecided,32,1,female,1,3,37,15,0
144,decided,52,1,female,1,2,69.5,20,1
145,decided,48,1,male,1,3,90,20,0
146,decided,34,1,female,1,3,4,18,1
147,undecided,34,1,male,1,3,126,15,0
148,undecided,31,1,male,1,5,108,15,1
149,decided,50,1,male,0,2,118,20,1
150,decided,46,1,male,1,5,153,18,1
151,undecided,49,0,female,1,3,112,13,0
152,decided,54,1,female,1,4,46,18,1
153,decided,45,1,female,1,3,134,18,1
154,decided,65,1,female,0,4,58,8,0
155,decided,36,1,female,1,5,91,18,1
156,undecided,58,1,female,1,3,88,20,0
157,decided,37,1,female,1,5,142,18,1
158,decided,49,0,male,1,7,117,8,0
159,decided,34,1,female,1,4,94,12,0
160,decided,35,1,female,1,6,229,15,1
161,decided,54,1,female,1,2,32,20,1
162,undecided,48,1,female,0,1,61,18,0
163,undecided,57,1,female,1,2,50,16,1
164,undecided,47,1,male,0,2,31,18,1
165,undecided,29,1,female,1,7,131,15,0
166,decided,59,1,female,0,1,41,20,1
167,decided,61,1,male,1,3,127,20,0
168,undecided,44,1,male,0,1,59,18,1
169,decided,43,1,female,1,3,260,20,1
170,undecided,55,1,female,1,2,178,18,0
171,undecided,62,1,female,0,1,131,20,0
172,decided,61,1,female,1,3,26,20,1
173,undecided,47,1,female,1,7,165,15,1
174,decided,53,1,female,1,5,220,20,1
175,decided,46,1,female,1,4,187,12,1
176,undecided,37,1,other,1,2,81.5,15,0
177,undecided,57,1,female,1,3,68.5,15,0
178,decided,30,1,female,1,6,291,15,0
179,decided,58,1,female,0,1,107.5,8,1
180,decided,30,1,female,1,5,504,15,0
181,decided,45,1,male,1,3,179,16,0
182,undecided,42,1,female,0,1,64,20,0
183,undecided,58,1,female,1,6,18,15,1
184,decided,54,1,female,0,1,48,18,1
185,undecided,62,1,female,0,1,30,20,0
186,decided,32,1,female,1,4,424,15,0
187,decided,34,1,female,1,2,256,15,0
188,undecided,37,1,female,1,5,17,15,0
189,undecided,41,1,male,1,4,56,15,1
190,decided,51,0,male,1,2,58,18,1
191,decided,50,0,male,1,2,47,8,1
192,decided,36,1,female,0,1,94,9,0
193,undecided,47,1,female,1,6,17,15,0
194,decided,43,1,female,1,4,38,8,1
195,undecided,47,1,female,1,3,137,18,0
196,decided,32,1,female,1,5,96,8,0
197,undecided,48,1,female,1,4,144,18,0
198,undecided,41,1,female,1,6,132,15,0
199,decided,40,1,male,0,3,60,8,0
200,undecided,43,1,female,1,3,21,18,0
201,decided,41,0,female,0,3,26,8,0
202,decided,54,1,male,0,1,111,20,1
203,undecided,64,1,female,1,2,120,20,0
204,decided,47,1,female,0,2,48,18,1
205,decided,28,1,female,1,7,82,12,1
206,decided,35,1,male,1,4,189,18,0
207,undecided,51,1,female,1,2,56,20,0
208,decided,43,0,female,0,6,22,10,1
209,undecided,49,1,female,1,4,171,20,0
210,decided,56,1,male,1,2,62,20,0
211,decided,53,1,female,1,6,69,12,1
212,undecided,46,1,female,1,3,55,18,0
213,undecided,57,1,female,1,4,96,20,0
214,undecided,53,1,male,1,6,27,16,0
215,decided,55,1,female,0,2,52,9,0
216,decided,64,1,male,1,4,115,20,0
217,decided,53,1,other,0,2,28,10,0
218,undecided,49,1,female,1,2,146,18,0
219,undecided,45,1,male,1,5,113,16,0
220,decided,60,0,male,0,2,5,20,1
221,undecided,47,1,female,1,5,88,15,0
222,decided,58,1,other,1,4,84,18,1
223,decided,43,1,female,1,3,55,18,1
224,decided,60,1,female,0,1,90,20,1
225,decided,67,1,female,0,1,4,20,1
226,decided,50,1,female,1,3,33,18,1
227,undecided,68,1,female,0,1,37,13,1
228,decided,39,1,male,1,3,174,8,1
229,undecided,39,1,female,0,1,88,18,0
230,decided,45,1,female,1,5,80,18,1
231,undecided,40,1,male,1,4,151,15,0
232,undecided,44,1,female,1,5,73,15,0
233,undecided,66,1,female,0,1,80,20,0
234,undecided,55,1,female,1,2,6,18,0
235,decided,32,1,female,1,5,225,15,0
236,undecided,50,1,female,1,3,128,20,0
237,undecided,66,1,female,1,6,90,13,1
238,decided,67,1,female,0,1,6,20,1
239,undecided,32,1,other,1,7,82,15,1
240,undecided,35,1,female,1,3,72,18,0
241,undecided,54,1,female,1,2,113,18,0
242,undecided,41,1,male,1,5,53,16,0
243,decided,56,1,female,1,2,41,20,1
244,undecided,48,0,female,0,1,4,20,0
245,undecided,55,0,female,1,4,133,15,0
246,decided,71,0,male,1,2,38,8,1
247,undecided,42,1,female,1,4,162,15,1
248,decided,43,1,other,1,4,285,15,0
249,decided,50,1,female,1,4,271,15,1
250,undecided,34,1,female,0,2,77,15,0
251,undecided,34,1,female,1,3,134,15,0
252,decided,44,1,female,1,4,247,15,0
253,decided,67,1,male,1,6,9,20,1
254,undecided,44,1,female,1,7,73,15,1
255,decided,47,0,female,1,3,63,8,0
256,decided,54,1,female,1,6,26,8,0
257,undecided,48,1,female,1,2,137,20,0
258,undecided,62,1,female,1,2,76,20,0
259,decided,38,1,female,0,1,236,8,0
260,decided,44,0,female,1,2,80,8,0
261,decided,59,1,male,1,2,46.5,20,0
262,undecided,54,1,female,1,3,82,16,1
263,undecided,40,1,male,1,5,101,15,1
264,decided,53,1,male,1,3,167,20,1
265,decided,33,1,male,1,6,178,15,1
266,undecided,45,1,female,1,3,121,18,0
267,decided,49,1,male,0,2,239,18,0
268,decided,48,1,female,1,2,62,18,1
269,decided,63,1,male,1,4,47,20,0
270,decided,50,1,female,1,3,105,8,1
271,decided,57,0,female,1,3,131,8,1
272,undecided,49,1,female,0,1,57,20,0
273,undecided,30,1,female,1,2,54,15,0
274,decided,54,0,female,0,2,15,8,0
275,decided,44,1,female,0,4,41,12,1
276,undecided,46,1,male,1,5,62,15,0
277,decided,50,1,female,1,5,127,18,1
278,undecided,47,1,female,1,5,147,15,1
279,decided,47,0,other,1,5,299,12,0
280,decided,56,1,female,1,2,28,20,1
281,decided,30,1,female,1,5,128,12,1
282,undecided,32,1,female,1,6,146,15,0
283,decided,40,1,female,1,6,121,12,1
284,decided,36,1,female,1,4,102,9,1
285,decided,47,1,male,1,4,77,18,1
286,decided,59,1,female,0,1,59,20,1
287,decided,46,1,female,1,4,258,15,1
288,undecided,42,1,female,1,2,168,15,0
289,decided,55,1,female,1,6,154,10,1
290,undecided,53,1,female,1,4,109,18,0
291,decided,35,1,male,1,3,22,18,1
292,decided,38,1,other,1,5,211,15,0
293,decided,40,1,female,1,5,324,8,1
294,undecided,63,0,female,1,6,50,16,1
295,undecided,50,1,female,1,3,183,18,0
296,decided,50,1,female,1,3,101,20,1
297,decided,70,1,female,1,5,457,16,1
298,decided,43,1,female,0,4,63,20,1
299,decided,45,0,female,1,3,193,15,0
300,undecided,64,1,female,1,2,124,20,0
301,decided,57,1,female,0,1,33,8,0
302,decided,54,1,female,1,2,143,20,1
303,decided,54,0,female,0,3,87,18,1
304,undecided,46,1,female,1,3,108,20,0
305,decided,52,1,male,1,3,97,20,1
306,undecided,40,1,female,1,3,119,15,0
307,decided,32,1,female,1,7,114,12,1
308,decided,40,0,male,1,3,84,8,1
309,decided,48,1,female,1,4,176,20,1
310,decided,51,1,male,1,5,93,20,1
311,decided,47,0,other,0,1,32,8,0
312,decided,47,1,female,1,2,36,18,1
313,decided,37,0,female,1,3,130,9,1
314,undecided,65,0,female,0,1,157,20,0
315,decided,66,1,female,0,1,51,20,1
316,undecided,69,1,female,1,3,121,20,0
317,decided,60,0,female,1,3,17,8,1
318,decided,40,0,male,0,2,62,18,1
319,decided,41,1,other,1,5,197,13,1
320,decided,52,1,female,0,1,162,20,1
