Customer,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
1,No,164,1,1,3.86,1,219.1,88,89.6,7.58,14.3
2,Yes,177,0,0,0,1,248.7,118,57,8.62,11.3
3,No,132,1,0,0.31,1,191.9,107,54.1,10.35,12.6
4,Yes,70,1,0,0,0,232.8,95,66,15.17,12.9
5,No,81,1,1,3.29,1,161.6,117,70.9,6.15,12.2
6,No,70,1,0,0,1,222.8,114,57,10.8,0
7,No,66,1,0,0,1,201.3,95,48,7.64,7.5
8,No,133,1,0,0,0,201.7,85,49,8.47,6
9,Yes,54,1,0,0,1,272.6,83,68,12.44,9.5
10,Yes,101,1,0,0,4,158.4,92,43,9.4,13.5
11,Yes,63,1,0,0,4,278,102,70,13.32,13.1
12,Yes,87,1,0,0,5,151,83,45,10.99,9.7
13,No,51,1,0,0,0,214.8,94,50,7.49,10.2
14,No,75,1,1,0.68,1,200.6,96,55.8,8.21,2.5
15,No,84,1,0,0,1,159,80,42,8.4,12.3
16,Yes,44,1,0,0.21,3,288.1,112,73.1,12.9,10.2
17,Yes,35,1,0,0,5,138.1,115,37,7.91,10.3
18,No,116,1,1,1.89,2,204.7,118,71.9,10.47,7
19,No,125,1,1,1.46,1,201.3,117,52.6,2.11,5.4
20,No,42,1,1,2.19,0,163.8,80,64.9,8.89,8.1
21,Yes,94,1,0,0,4,157.9,105,41,7.75,8
22,No,86,1,0,0.34,1,166.2,112,53.4,12.77,5.4
23,Yes,111,1,0,0,4,176.9,128,39,5.14,10.5
24,Yes,62,1,0,0,1,248.7,109,61,11,13.2
25,No,90,1,0,0,2,102,118,27,5.67,11.4
26,Yes,100,1,0,0.32,0,278,76,66.2,8.84,8.3
27,Yes,76,1,0,0,0,272.7,97,67,11.82,7.7
28,Yes,146,1,0,0,7,149.3,83,42,9.36,7.9
29,No,162,1,0,0.28,2,115.1,89,39.8,9.84,11.4
30,Yes,182,1,0,0,2,279.1,124,63,9.03,9.5
31,Yes,27,1,0,0.36,2,226.3,95,65.6,13.72,8.2
32,No,144,1,0,0,2,139.6,96,35,6.21,15
33,No,137,1,0,0,3,110.5,79,38,11.16,10.5
34,Yes,99,0,0,0,0,242.3,102,72,17.55,11.3
35,No,64,1,0,0.29,1,162.6,83,43.9,7.62,14.2
36,No,97,1,0,0,1,146,121,43,10.15,13.3
37,Yes,93,0,0,0,1,216.9,61,55,10.37,17.5
38,Yes,126,1,1,3.46,4,153.4,90,73.6,7.57,12.8
39,Yes,130,0,0,0,5,216.2,106,68,18.19,16.9
40,No,68,1,0,0.11,3,222.8,99,54.1,8.79,11
41,Yes,115,0,0,0,1,345.3,81,76,10.17,11.8
42,No,115,1,1,1.22,0,155.2,110,59.2,11.55,4.5
43,Yes,112,1,0,0,3,272.5,119,66,11.31,16.4
44,Yes,103,1,1,3.75,4,110.5,101,74.5,10.42,13.9
45,No,164,1,1,2.59,3,159.7,102,67.9,8.44,9.6
46,Yes,94,1,0,0,3,271.2,105,64,10.13,11.5
47,No,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8
48,Yes,83,1,0,0,0,337.4,120,77,11.37,15.8
49,No,125,1,1,2.78,0,268.4,112,92.8,11.11,10.3
50,No,109,1,0,0.31,3,180,100,54.1,11.45,7.8
51,No,66,1,0,0,1,118,133,42,12.41,5.3
52,No,106,1,0,0,3,213.9,95,50,7.6,12.2
53,Yes,100,1,0,0,4,113.3,96,37,9.9,11.7
54,No,58,1,1,2.27,0,178.1,111,73.7,11.84,8.4
55,Yes,73,1,0,0,1,217.8,91,56,11.03,10.3
56,Yes,76,0,0,0,0,246.8,110,60,10.32,13.2
57,No,106,1,0,0,1,158.7,74,33,3.22,10.2
58,No,88,1,0,0,2,189.8,111,50,9.87,14.9
59,No,142,1,0,0,1,145.4,93,43,10.46,10.9
60,Yes,126,1,0,0,3,249.8,96,65,13.1,12.7
61,Yes,58,1,0,0,0,112.2,95,37,10.48,13.9
62,No,75,1,1,3.35,1,130.9,115,73.5,10.17,12.4
63,Yes,125,1,0,0,0,240.7,82,64,13.47,10.1
64,Yes,122,0,0,0,0,230.9,132,60,12.16,11
65,No,37,1,0,0,0,206,89,51,9.3,8.4
