Customer,Balance,Age,Enroll
1,122,54,No
2,289,55,No
3,365,68,Yes
4,398,67,No
5,409,27,No
6,491,44,No
7,524,60,No
8,573,28,No
9,617,57,No
10,628,22,No
11,652,74,No
12,670,80,No
13,674,36,Yes
14,680,78,No
15,685,46,Yes
16,698,25,No
17,726,51,Yes
18,776,68,No
19,778,36,Yes
20,810,55,Yes
21,975,22,Yes
22,1011,65,Yes
23,1019,37,Yes
24,1037,66,Yes
25,1169,60,No
26,1507,65,Yes
27,1845,74,Yes
28,2498,65,No
29,441,46,No
30,793,41,Yes
31,391,46,No
32,506,30,No
33,761,40,No
34,1463,31,Yes
35,628,68,Yes
36,706,54,No
37,289,33,No
38,654,51,No
39,557,32,No
40,1033,74,Yes
41,415,58,No
42,796,69,No
43,561,56,No
44,592,60,No
45,209,34,No
46,813,72,No
47,323,40,No
48,671,38,No
49,858,26,Yes
50,990,48,Yes
51,493,48,No
52,372,70,No
53,647,38,No
54,1295,70,Yes
55,1356,80,Yes
56,960,24,Yes
57,976,28,Yes
58,1176,80,Yes
59,426,47,No
60,333,34,No
61,1257,50,Yes
62,1144,35,Yes
63,938,34,Yes
64,620,22,No
65,361,78,No
66,300,27,No
67,596,73,No
68,527,67,No
69,1376,62,Yes
70,1509,23,Yes
71,263,45,No
72,324,49,No
73,850,54,Yes
74,786,35,No
75,363,78,No
76,990,53,Yes
77,164,42,No
78,582,50,No
79,553,69,No
80,432,51,No
81,468,52,No
82,438,42,No
83,512,80,No
84,451,48,No
85,1055,21,Yes
86,708,77,Yes
87,555,61,No
88,377,55,No
89,812,27,No
90,271,21,No
91,317,31,No
92,383,60,No
93,191,61,No
94,915,22,Yes
95,718,71,No
96,1001,40,Yes
97,674,70,Yes
98,1249,62,Yes
99,1422,74,Yes
100,696,63,No
101,676,46,No
102,570,44,No
103,554,27,No
104,509,46,No
105,603,70,No
106,356,47,No
107,505,57,No
108,503,30,No
109,2726,75,Yes
110,582,54,No
111,767,56,Yes
112,1078,53,Yes
113,629,33,No
114,831,65,No
115,505,68,No
