Customer,Spending,Card,Coupon
1,2291,1,No
5,2528,1,No
8,7076,0,No
15,6737,0,No
18,3470,1,No
20,6404,0,Yes
21,2229,0,No
22,2933,0,No
23,2118,0,No
25,4998,0,Yes
26,1394,0,No
28,2059,0,Yes
29,1677,0,No
32,2933,1,No
33,5365,1,Yes
35,6179,0,No
37,1058,1,No
45,3566,0,No
47,1554,1,No
48,4631,0,No
49,4345,1,Yes
54,3386,1,Yes
56,2050,1,Yes
57,2323,1,Yes
59,3345,0,Yes
60,3318,1,Yes
61,4721,0,Yes
62,1662,0,Yes
65,2313,0,Yes
66,6851,0,No
68,3470,1,Yes
73,1878,1,No
81,5501,1,Yes
82,5991,1,Yes
83,2372,1,No
84,3995,1,No
88,2429,1,No
91,1130,1,No
92,1911,1,Yes
95,1403,1,No
97,2421,1,No
98,6073,0,No
108,4971,0,No
109,2252,1,No
110,1979,1,No
112,1786,1,No
113,5438,1,Yes
114,1834,0,No
115,2000,1,No
118,2864,1,No
119,2246,1,No
120,8312,0,Yes
122,1015,0,No
123,2180,0,No
128,3352,1,No
129,1409,1,No
132,4397,0,No
133,4494,1,No
134,3720,0,No
136,17675,0,Yes
141,2277,0,No
142,1340,0,No
143,3004,0,No
146,2634,1,No
148,7761,1,Yes
150,5172,1,Yes
153,2609,0,No
156,2318,1,No
157,3195,0,No
159,1982,0,No
161,1799,0,No
164,1773,1,No
167,1761,0,No
169,1981,0,No
174,2662,0,No
179,8256,0,Yes
181,4320,0,No
182,7156,0,No
187,4875,1,Yes
188,2021,1,No
189,1694,0,No
190,1708,0,No
192,3558,1,No
193,1315,0,No
196,1889,1,No
200,3385,0,No
201,2194,0,No
202,5139,1,No
205,3468,1,No
209,2288,0,No
210,4001,0,No
211,2911,0,No
212,1736,0,No
215,1712,0,No
217,1846,0,No
219,1811,0,No
220,4815,0,No
230,1179,0,No
232,2761,0,No
234,2752,0,No
239,3352,1,No
241,3439,1,No
244,3134,0,No
246,3075,1,No
249,2893,1,No
250,2344,1,No
254,1340,0,No
256,1991,1,No
261,3670,0,No
262,3415,1,No
263,12151,1,Yes
266,4895,1,No
267,2424,0,No
269,1894,1,No
270,1774,1,No
272,2270,0,No
274,4959,0,No
277,3201,1,No
278,4846,1,No
280,2411,1,No
282,3212,1,No
287,2978,1,No
289,1427,1,No
292,2940,0,No
297,2876,1,No
298,3909,0,No
300,3178,1,No
302,1846,0,No
303,3502,0,No
308,2357,0,No
311,3200,1,No
315,2657,0,No
316,4777,0,No
317,1879,1,No
320,1211,1,No
321,1263,1,No
322,1676,1,No
323,1482,1,No
325,3485,1,No
327,4848,0,No
329,1351,0,No
332,2846,1,No
334,1908,0,No
336,2764,0,No
340,5091,0,No
343,1865,1,No
346,1013,1,No
348,2853,0,No
355,5538,0,No
356,3850,1,No
357,2328,1,No
363,1751,0,No
366,1013,0,No
371,10311,1,Yes
372,3012,0,No
373,2300,1,No
375,2825,0,No
376,5497,0,No
377,1118,0,No
380,2662,1,No
381,4037,1,No
384,1576,1,No
386,4700,0,No
387,2175,1,No
390,3894,1,No
393,2140,1,No
396,2747,0,No
397,2936,1,No
398,3854,0,No
399,2717,0,No
400,1387,1,No
402,3118,0,No
404,4626,0,No
408,3415,0,No
412,3390,0,No
413,7787,0,Yes
415,4130,1,No
416,3850,0,No
418,2996,0,No
420,3546,0,No
427,1247,0,No
429,5274,0,No
431,4854,1,No
432,2962,1,No
433,2013,0,No
434,5437,1,Yes
436,3180,0,No
444,1687,1,No
446,1784,1,No
448,3748,0,No
449,3028,1,No
452,4585,0,No
453,2761,0,No
454,2081,0,No
455,4394,0,No
464,5269,1,Yes
465,8475,1,Yes
466,3491,0,No
474,3079,0,No
475,1745,1,No
477,2060,0,No
478,4938,0,No
479,2847,0,No
481,1338,1,No
482,1907,0,No
485,3376,0,No
488,2306,0,No
491,1835,0,No
494,1523,1,No
495,3350,0,No
496,6260,1,Yes
498,994,0,No
501,1893,1,No
503,3865,0,No
504,2781,1,No
510,2867,1,No
511,7262,1,Yes
518,1874,1,No
519,2261,0,No
520,2291,1,No
522,1725,1,No
524,1983,1,No
525,2264,0,No
527,6614,1,Yes
531,4879,1,No
534,6443,1,Yes
535,3419,1,Yes
537,2282,1,No
538,2735,1,No
546,1306,0,No
547,6762,0,No
549,4099,1,No
552,5520,1,No
553,1615,1,No
555,1640,1,No
556,3359,1,No
559,5031,0,No
561,3619,0,No
563,3477,1,No
564,2430,0,No
572,1653,0,No
577,1954,0,No
578,4032,0,No
583,2983,1,No
584,2098,1,No
585,1360,0,No
586,4895,1,Yes
588,1860,0,No
591,1359,0,No
593,2194,1,No
595,5309,0,No
604,2624,1,No
607,4059,1,Yes
618,3860,1,No
621,1478,0,No
622,3969,0,No
624,1540,1,No
626,2054,0,No
629,6101,1,Yes
633,2125,0,No
636,1708,0,No
640,1677,0,No
641,3846,0,No
642,2045,0,No
643,3896,1,Yes
644,872,0,No
645,8750,1,Yes
646,5464,1,Yes
647,1615,0,No
649,2485,0,No
652,3898,1,Yes
656,2948,0,No
659,4010,0,No
663,4539,1,No
669,1181,0,No
672,3854,0,No
675,3651,0,No
676,2982,1,No
677,2753,1,No
678,1633,0,No
679,1168,1,No
681,1148,1,No
686,1744,0,No
688,3145,0,No
692,2901,0,No
705,6489,0,No
712,2162,0,No
715,3319,1,No
719,2994,1,No
720,1899,1,No
723,2438,1,No
728,955,0,No
732,5593,1,Yes
737,2941,0,No
739,5707,0,No
743,2198,0,No
744,2348,1,No
745,4412,0,No
749,3777,1,No
753,1891,0,No
755,1262,0,No
766,4517,0,No
767,2746,1,No
770,5002,0,No
771,2391,1,No
775,4680,1,Yes
777,2097,0,No
778,2032,0,No
780,2103,0,No
782,4301,1,Yes
787,2035,1,No
790,6207,0,No
793,1466,0,No
794,3058,1,No
797,3684,0,No
813,6529,1,Yes
814,5091,1,Yes
816,1314,0,No
817,2621,0,No
818,3001,1,No
819,3558,1,No
820,3671,1,No
822,3024,0,No
827,8120,1,Yes
829,4919,0,No
831,2484,1,No
835,3292,0,No
838,4199,1,No
839,6287,0,No
842,1266,0,No
843,6653,1,Yes
844,1396,0,No
846,2712,1,No
848,4360,0,No
849,1681,0,No
850,3163,1,No
854,2949,1,No
856,5107,0,No
857,2490,1,No
859,1176,1,No
861,3576,1,No
864,1746,0,No
865,1282,1,No
866,2183,1,No
867,2995,1,No
868,3140,1,No
871,4265,1,Yes
872,5788,1,Yes
874,4310,0,No
876,2325,0,No
880,3628,0,No
883,4953,0,No
889,2403,1,No
891,2955,0,No
893,3488,1,No
894,1367,0,No
895,1311,1,No
897,2407,1,No
901,2503,0,No
902,3225,0,No
906,3958,1,Yes
908,4067,1,No
911,2906,0,No
916,2597,0,No
917,2114,0,No
918,1133,1,No
919,5281,1,Yes
920,2206,0,No
921,3626,0,No
923,2192,0,No
926,1603,1,No
929,1833,1,No
931,2298,1,No
934,1512,1,No
935,992,0,No
936,2273,1,No
937,3755,0,No
941,7521,0,Yes
945,2254,1,No
947,4336,0,No
950,5791,1,Yes
951,3072,0,No
952,4358,1,Yes
953,5148,1,Yes
957,6225,1,Yes
958,6146,0,No
959,2474,1,No
961,6993,1,Yes
968,5900,1,Yes
969,7534,0,No
970,5041,1,Yes
972,3867,0,No
973,1387,1,No
975,5419,0,No
978,3006,0,No
980,6512,1,Yes
984,5498,1,Yes
985,2277,1,No
986,3700,1,No
987,2483,0,No
988,3420,0,No
990,1655,1,No
991,1978,1,No
992,3214,1,No
994,5708,0,No
995,1874,0,No
998,3154,0,No
171,2489,1,No
338,6483,0,No
443,3178,0,No
870,7202,1,Yes
661,5694,1,Yes
741,3532,1,Yes
166,1265,0,No
462,6359,1,Yes
106,4173,1,Yes
590,3032,0,No
445,2497,1,No
514,1390,1,No
409,5589,1,Yes
240,3412,1,No
451,1139,0,No
764,3753,0,No
351,4164,1,No
185,2363,0,No
324,3708,0,No
693,801,0,No
628,2730,0,No
414,1502,0,No
42,1839,0,No
242,2425,0,No
441,2814,1,No
294,1655,1,No
89,4701,1,Yes
580,1200,1,No
16,6486,0,No
100,3411,0,Yes
896,1090,0,No
983,2725,1,No
742,1879,1,No
80,2148,1,No
437,2528,0,No
349,6744,0,No
78,7076,1,Yes
342,3897,1,Yes
570,1654,0,No
662,3681,0,No
264,4909,0,No
76,3411,1,Yes
915,6244,1,Yes
841,2636,0,No
726,1910,0,No
186,1685,0,No
938,4517,0,No
12,3255,0,Yes
369,5653,1,Yes
704,3380,0,No
651,3599,0,No
11,2140,1,No
760,3682,1,Yes
41,3253,0,No
71,2678,1,Yes
772,3002,1,No
695,1263,1,No
993,3121,1,No
670,2289,1,No
24,2050,0,No
698,6995,1,Yes
605,2314,1,No
635,2060,1,No
637,2988,1,No
